"Country","Year","Age","Sex","Limited","Healthy","Prevalence","lx","Lx","ex","AgeCat5","Lx.5","Limited.5","Healthy.5","Prev.5","Prev.1","Prev.1_half","Prev.1_spline_0","Prev.1_spline_half","Prev.1_penalty","Prev.1_poly","Prev.5_spline_half","Prev.5_penalty","Prev.5_poly","LE","Lx.healthy.0","Lx.healthy_half","Lx.healthy.spline_0","Lx.healthy.spline_half","Lx.healthy.penalty","Lx.healthy.poly","HLY.1","HLY.1_half","HLY.1_spline.0","HLY.1_spline.half","HLY.1_penalty","HLY.1_poly","Prop.healthy","Prop.healthy_spline","Prop.healthy_penalty","Prop.healthy_poly"
"DK",2017,0,"Female",NA,NA,NA,1e+05,99720.9598609964,83.2983109730136,"0-1",99720.9598609964,NA,NA,0.105437053768991,0,0.105437053768991,0,0.0852794437228573,0.0961233691199536,0.0967652694417744,0.10543708229886,0.0948747321534363,0.0902918944813002,83.2983109730136,99720.9598609964,89206.6756542372,99720.9598609964,91216.8118765413,90135.4452272818,90071.4343110547,60.3548849467324,58.3592064687533,60.8388717255774,58.7255074682034,58.6652637011918,58.7098362437033,70.0604919680306,70.5002379786895,70.4279150632451,70.4814246026233
"DK",2017,65,"Female",14669.6856,12497.1204,0.539985657496873,91861.7999867605,91466.0293034863,21.0286500692953,"65-70",448766.825572282,50636.79415,71781.87192,0.41363621885118,0.539985657496873,0.539985657496873,0.408598321591366,0.405098676694313,0.40695432427062,0.396777672367591,0.415940589944907,0.407271516589694,0.397915184200757,21.0286500692953,42075.685331415,42075.685331415,54093.1632474551,54413.2618701607,54243.5331545693,55174.3510957431,11.5756920530968,11.5756920530968,11.8333511137643,11.7041954777453,11.8615373284402,11.8542333583688,55.047242761431,55.6583301314002,56.4065562428075,56.3718228193718
"DK",2017,0,"Male",NA,NA,NA,1e+05,99642.0851310435,79.4417015333219,"0-1",99642.0851310435,NA,NA,0.0810081960579123,0,0.0810081960579123,0,0.0519462611582381,0.0732055424164983,0.0547622210685685,0.0810082349635814,0.0737186266644681,0.0610043569845311,79.4417015333219,99642.0851310435,91570.2595631288,99642.0851310435,94466.051354475,92347.7322415146,94185.4632373642,60.2253963681529,58.6941345844103,60.7917343812099,58.8901500625342,59.0113846297902,59.0316397495363,73.8832797530036,74.1300210416977,74.2826292624634,74.3081260976962
"DK",2017,65,"Male",7304.9029,17778.05016,0.291229779943622,86868.1274221713,86295.3782706322,18.5421115344398,"65-70",418599.376848924,40153.33921,65930.9432,0.378504131788471,0.291229779943622,0.291229779943622,0.400222942634247,0.376970297226362,0.404616145692351,0.388690294167956,0.390090667245512,0.403865676400215,0.387986531480831,18.5421115344398,61163.5942467244,61163.5942467244,51757.9880434243,53764.5838746907,51378.8749237055,52753.2023052851,11.2799905775392,11.2799905775392,11.5209865312112,11.3039509506026,11.527502916869,11.5667409899832,60.8344446455731,60.9636660291189,62.1693106281775,62.3809266193838
"FR",2017,0,"Female",NA,NA,NA,1e+05,99699.7026129584,86.0941399012779,"0-1",99699.7026129584,NA,NA,0.0305938972283038,0,0.0305938972283038,0,0.0275940016964376,0.0280474164807394,0.041562195433661,0.0305939053703167,0.0277579562844121,0.0376884437987131,86.0941399012779,99699.7026129584,96649.5001575251,99699.7026129584,96948.5888499221,96903.3835307669,95555.9640882807,67.7664623992172,67.1876605306128,67.5202003572585,66.9023987234618,66.8885243926671,66.9304104711938,78.0397604385795,77.7084233609595,77.6923080587907,77.7409595449136
"FR",2017,65,"Female",122595.3702,278449.1533,0.305690174073652,92304.9901177365,92022.4641128477,24.0459451682571,"65-70",453891.212533989,626117.8586,1255394.0689,0.332773791889767,0.305690174073652,0.305690174073652,0.334185269181534,0.335567509497898,0.334767848574804,0.341363688672891,0.329659342596581,0.336853005981864,0.343366275886299,24.0459451682571,63892.1010395049,63892.1010395049,61269.9121725477,61142.7150126397,61216.3017812376,60609.3363225173,13.2393197750743,13.2393197750743,12.8663400562436,12.8837006832788,12.873492952651,12.8457897025186,55.0584295291143,53.5795145215856,53.537063577959,53.4218539243623
"FR",2017,0,"Male",NA,NA,NA,1e+05,99652.3262149013,79.9517771055171,"0-1",99652.3262149013,NA,NA,0.0288048761941602,0,0.0288048761941602,0,0.0170591453465553,0.0258418027085576,0.0259693910200292,0.0288048763855969,0.0257506656256402,0.01861224841253,79.9517771055171,99652.3262149013,96781.853295821,99652.3262149013,97952.3426978789,97077.130461407,97064.415989371,64.7022525666101,64.1577135754152,64.6445589556526,64.0282369759005,63.9440004776333,63.8807983749747,80.2455128555085,80.0835694888916,79.9782103570289,79.8991600782899
"FR",2017,65,"Male",155013.78,290744.6209,0.347752907599772,84992.851331302,84413.9281900977,19.9652364343974,"65-70",409734.00356718,610249.4758,1212827.5042,0.334735988932294,0.347752907599772,0.347752907599772,0.336408219032296,0.339153154438797,0.330702652652753,0.329419628800032,0.32714649872838,0.338885345073841,0.337806056976583,19.9652364343974,55058.7392200729,55058.7392200729,56016.3889461468,55784.678165856,56498.0182167934,56606.3233001632,10.8988026925733,10.8988026925733,10.6477735818775,10.6952688922981,10.5904686026902,10.5116634020456,54.5888987009247,53.569457729394,53.0445438875156,52.649831804323
